n,grid_size,replication,steps_run,final_gini,final_max_wealth
50,5,1,100,0.6704,7
50,5,2,100,0.6272,8
50,5,0,100,0.5496000000000001,4
50,5,4,100,0.5456000000000001,5
50,5,3,100,0.5544,4
50,10,1,100,0.6184000000000001,5
50,10,0,100,0.6120000000000001,4
50,10,2,100,0.7104,5
50,10,3,100,0.744,11
50,10,4,100,0.6664,8
50,15,0,100,0.6232,5
50,15,1,100,0.7272000000000001,8
50,15,2,100,0.6384000000000001,5
50,15,3,100,0.732,6
50,15,4,100,0.5816,4
50,20,0,100,0.6048,4
50,20,1,100,0.5904,7
50,20,2,100,0.648,5
50,20,3,100,0.7376,7
50,20,4,100,0.6528,5
100,5,0,100,0.6568,6
100,5,1,100,0.6112,6
100,5,2,100,0.611,5
100,5,4,100,0.6186,5
100,5,3,100,0.5562,5
100,10,0,100,0.6152,7
100,10,1,100,0.6194,6
100,10,2,100,0.6364000000000001,5
100,10,3,100,0.5846,8
100,10,4,100,0.7366,10
100,15,0,100,0.6582,6
100,15,1,100,0.6234,6
100,15,3,100,0.651,8
100,15,2,100,0.6242000000000001,7
100,15,4,100,0.5754,4
100,20,0,100,0.6644,7
100,20,2,100,0.6958,7
100,20,1,100,0.6426000000000001,5
100,20,3,100,0.624,6
100,20,4,100,0.6738,5
200,5,0,100,0.6118499999999999,6
200,5,1,100,0.6288999999999999,7
200,5,2,100,0.6333499999999999,6
200,5,3,100,0.5996999999999999,6
200,5,4,100,0.5989499999999999,9
200,10,0,100,0.63045,7
200,10,1,100,0.6568999999999998,7
200,10,2,100,0.6659999999999999,7
200,10,3,100,0.6344999999999998,7
200,10,4,100,0.6457499999999998,7
200,15,1,100,0.6482999999999999,6
200,15,0,100,0.6400999999999999,6
200,15,2,100,0.6301999999999999,6
200,15,3,100,0.68895,6
200,15,4,100,0.6275,8
200,20,0,100,0.6730999999999999,8
200,20,1,100,0.6679499999999998,7
200,20,2,100,0.6340499999999999,7
200,20,3,100,0.6420999999999999,7
200,20,4,100,0.6343999999999999,12
400,5,0,100,0.59995,11
400,5,1,100,0.6148874999999999,7
400,5,2,100,0.6290625,9
400,5,3,100,0.6195124999999999,8
400,10,0,100,0.6305875,7
400,5,4,100,0.6285375,8
400,10,1,100,0.6123999999999999,8
400,10,2,100,0.6294,6
400,10,3,100,0.606425,9
400,10,4,100,0.6329374999999999,7
400,15,0,100,0.6463999999999999,9
400,15,1,100,0.630025,8
400,15,2,100,0.6440999999999999,12
400,15,3,100,0.64955,8
400,15,4,100,0.6666,9
400,20,0,100,0.6431,7
400,20,1,100,0.6554,7
400,20,2,100,0.6408874999999999,8
400,20,4,100,0.6629375,8
400,20,3,100,0.6426499999999999,13
